# time,q0,q1,q2,q3,angle_x,angle_y,angle_z,height
7.800000000000000266e-01,9.994432519399438775e-01,2.908437607483735018e-02,-1.536764933069568670e-02,-5.578581727840979318e-03,-5.802541247747482200e-02,3.104767385014712069e-02,1.026216052393385397e-02,1.041000000000000014e+01
9.100000000000000311e-01,9.996920414547038058e-01,2.413766309938539245e-02,-3.823500465559199341e-03,4.310025106102084030e-03,-4.831354697621863259e-02,7.436646649420087900e-03,-8.802333391472298013e-03,1.527999999999999936e+01
1.040000000000000036e+00,9.992548239258179921e-01,2.917373935325218159e-02,-1.971819669530002969e-02,1.580767257424011557e-02,-5.900531660778687154e-02,3.849417457798884334e-02,-3.277243311486432997e-02,1.898999999999999844e+01
1.169999999999999929e+00,9.997447173026718925e-01,-7.706197457692303895e-03,9.059186964750394477e-03,1.921056682348049049e-02,1.575967868988399981e-02,-1.781861067478573632e-02,-3.856662985173640174e-02,2.235000000000000142e+01
1.300000000000000044e+00,9.988221560099920238e-01,-1.288683598758323667e-02,5.081621529356257320e-03,4.650169076937645668e-02,2.621997749944278075e-02,-8.952872620615122401e-03,-9.316324661500020865e-02,2.819999999999999929e+01
1.429999999999999938e+00,9.967920259777981462e-01,-1.558676012388332012e-02,4.619055389876690343e-06,7.850292882803455718e-02,3.107933711849289807e-02,2.438006581370152914e-03,-1.571488158249843281e-01,3.096999999999999886e+01
1.560000000000000053e+00,9.926087849147638975e-01,-2.239809523056900120e-02,-5.750005985708149525e-03,1.191346417766083465e-01,4.311444638083846564e-02,1.675257460020429523e-02,-2.385395277467857178e-01,3.817000000000000171e+01
1.689999999999999947e+00,9.841573831484700108e-01,-2.221437847643386448e-02,-5.029467468266152555e-03,1.758279586420915530e-01,4.197515444485820646e-02,1.771231884642823079e-02,-3.532144254517414761e-01,4.465999999999999659e+01
1.820000000000000062e+00,9.719932622647738940e-01,-1.947644726234598264e-02,-1.888288583138097304e-02,2.334377920059147182e-01,2.908060488999451854e-02,4.581718162060242211e-02,-4.707337310916200335e-01,4.963000000000000256e+01
1.949999999999999956e+00,9.559709554751923966e-01,-1.591594679977051049e-02,-2.640399950655231490e-02,2.918373583614179978e-01,1.504648840012081691e-02,5.980829867534839805e-02,-5.921346490474872493e-01,5.778000000000000114e+01
